id,label,diameter,weight,red,green,blue
75,orange,6.3,120.94,153,98,2
76,orange,6.31,121.04,145,88,10
77,orange,6.32,121.18,166,96,3
78,orange,6.33,121.33,154,86,2
79,orange,6.33,121.43,144,71,2
80,orange,6.35,121.51,160,88,8
81,orange,6.37,121.53,157,73,2
82,orange,6.38,121.61,158,83,19
83,orange,6.39,121.72,163,74,2
84,orange,6.4,121.76,185,80,8
85,orange,6.41,121.94,180,58,24
86,orange,6.41,122.03,160,91,2
87,orange,6.42,122.09,172,95,2
88,orange,6.43,122.21,169,77,2
89,orange,6.43,122.35,159,84,2
90,orange,6.44,122.41,149,84,2
91,orange,6.44,122.53,162,80,12
92,orange,6.46,122.68,152,85,2
93,orange,6.47,122.85,145,73,2
94,orange,6.49,122.94,146,82,9
95,orange,6.49,123.08,136,96,12
96,orange,6.5,123.17,149,87,14
97,orange,6.5,123.19,167,79,15
98,orange,6.52,123.32,164,76,6
99,orange,6.52,123.43,142,98,2
100,orange,6.53,123.5,178,94,2
101,orange,6.54,123.54,148,68,2
102,orange,6.54,123.58,177,64,2
103,orange,6.55,123.71,161,76,2
104,orange,6.56,123.79,158,74,8
105,orange,6.57,123.95,170,83,4
106,orange,6.57,124.01,172,86,14
107,orange,6.57,124.05,159,72,2
108,orange,6.58,124.17,165,107,18
109,orange,6.58,124.28,154,62,2
110,orange,6.59,124.42,151,80,7
111,orange,6.59,124.52,169,78,26
112,orange,6.59,124.76,151,83,6
113,orange,6.6,124.87,157,76,9
114,orange,6.6,124.91,157,97,2
115,orange,6.61,124.97,143,72,8
116,orange,6.61,125.07,164,74,11
117,orange,6.62,125.08,154,85,28
118,orange,6.62,125.12,142,65,2
119,orange,6.62,125.22,152,75,8
120,orange,6.62,125.23,154,77,2
121,orange,6.63,125.38,144,71,6
122,orange,6.64,125.45,165,77,2
123,orange,6.64,125.49,137,83,2
124,orange,6.65,125.64,170,66,2
125,orange,6.65,125.68,148,78,15
126,orange,6.65,125.75,150,76,25
127,orange,6.66,125.81,159,76,8
128,orange,6.67,125.89,135,82,2
129,orange,6.67,125.94,149,77,4
130,orange,6.68,125.97,163,80,2
131,orange,6.69,126.18,159,62,6
132,orange,6.69,126.27,160,80,17
133,orange,6.7,126.41,148,79,2
134,orange,6.7,126.5,168,80,3
135,orange,6.71,126.54,153,78,10
136,orange,6.71,126.59,162,63,9
137,orange,6.71,126.65,170,87,2
138,orange,6.72,126.7,146,89,9
139,orange,6.73,126.78,154,77,16
140,orange,6.73,126.93,151,102,2
141,orange,6.74,126.94,149,86,10
142,orange,6.75,127.01,169,89,14
143,orange,6.76,127.16,165,97,8
144,orange,6.77,127.26,166,89,16
145,orange,6.77,127.3,161,72,12
146,orange,6.77,127.34,160,68,6
147,orange,6.78,127.41,162,70,23
148,orange,6.79,127.46,144,79,2
149,orange,6.79,127.48,137,78,23
150,orange,6.8,127.55,171,81,10
151,orange,6.8,127.59,155,67,11
152,orange,6.8,127.67,163,70,2
153,orange,6.82,127.75,163,67,5
154,orange,6.82,127.94,164,88,8
155,orange,6.82,127.95,169,75,14
156,orange,6.82,128.08,159,93,3
157,orange,6.83,128.22,169,84,2
158,orange,6.83,128.27,154,91,15
159,orange,6.84,128.31,132,81,6
160,orange,6.84,128.35,166,72,3
161,orange,6.85,128.41,159,80,13
162,orange,6.85,128.54,180,105,11
163,orange,6.85,128.68,165,86,2
164,orange,6.86,128.8,124,77,15
165,orange,6.86,128.85,174,81,21
166,orange,6.87,129,149,82,2
167,orange,6.87,129.18,163,89,7
168,orange,6.88,129.3,142,101,2
169,orange,6.88,129.42,154,83,8
170,orange,6.88,129.46,166,84,2
171,orange,6.89,129.58,153,70,9
172,orange,6.89,129.68,158,84,2
173,orange,6.9,129.73,158,91,8
174,orange,6.9,129.78,161,90,16
175,orange,6.9,129.81,169,87,2
176,orange,6.9,129.94,151,75,28
177,orange,6.91,129.99,160,76,2
178,orange,6.91,130.13,156,91,22
179,orange,6.91,130.14,159,85,7
180,orange,6.91,130.15,164,85,34
181,orange,6.92,130.25,164,85,6
182,orange,6.92,130.29,142,82,2
183,orange,6.93,130.43,161,79,2
184,orange,6.93,130.48,156,94,2
185,orange,6.93,130.51,162,82,2
186,orange,6.93,130.57,155,97,29
187,orange,6.94,130.68,161,90,2
188,orange,6.94,130.73,172,89,3
189,orange,6.95,130.8,149,76,2
190,orange,6.95,130.84,141,96,6
191,orange,6.95,130.88,155,78,2
192,orange,6.95,130.9,152,71,2
193,orange,6.96,130.97,152,85,2
194,orange,6.97,131.02,169,83,2
195,orange,6.97,131.03,169,59,11
196,orange,6.98,131.11,161,79,6
197,orange,6.98,131.11,152,89,4
198,orange,6.98,131.18,171,84,18
199,orange,6.99,131.21,156,76,2
200,orange,6.99,131.23,147,98,2
201,orange,6.99,131.28,160,81,3
202,orange,7,131.35,152,85,2
203,orange,7,131.44,164,81,2
204,orange,7,131.5,152,93,2
205,orange,7.01,131.6,145,79,7
206,orange,7.01,131.62,153,66,18
207,orange,7.01,131.69,159,85,2
208,orange,7.02,131.78,148,81,2
209,orange,7.02,131.85,147,79,17
210,orange,7.02,131.86,160,93,11
211,orange,7.03,131.91,153,77,26
212,orange,7.03,131.93,159,89,3
213,orange,7.03,131.97,134,85,4
214,orange,7.03,131.97,160,80,2
215,orange,7.03,132.04,153,90,11
216,orange,7.04,132.08,166,86,2
217,orange,7.05,132.15,166,90,2
218,orange,7.05,132.19,157,79,2
219,orange,7.06,132.24,158,82,10
220,orange,7.06,132.3,158,86,2
221,orange,7.07,132.37,180,78,2
222,orange,7.07,132.42,167,74,18
223,orange,7.07,132.53,169,67,2
224,orange,7.08,132.59,154,85,5
225,orange,7.08,132.62,145,107,19
226,orange,7.08,132.7,152,93,2
227,orange,7.09,132.74,162,73,6
228,orange,7.09,132.77,168,57,12
229,orange,7.1,132.88,165,87,10
230,orange,7.1,132.91,159,77,6
231,orange,7.1,132.98,163,75,2
232,orange,7.1,133,155,76,2
233,orange,7.11,133.02,172,89,2
234,orange,7.11,133.03,179,71,2
235,orange,7.11,133.05,186,76,4
236,orange,7.11,133.07,159,72,16
237,orange,7.12,133.12,139,95,2
238,orange,7.12,133.19,146,84,15
239,orange,7.12,133.21,159,76,5
240,orange,7.13,133.24,168,71,2
241,orange,7.14,133.27,156,98,11
242,orange,7.14,133.28,164,83,14
243,orange,7.14,133.3,148,97,2
244,orange,7.15,133.37,154,75,3
245,orange,7.15,133.4,172,73,18
246,orange,7.15,133.45,162,69,2
247,orange,7.16,133.52,166,77,2
248,orange,7.16,133.57,169,75,9
249,orange,7.16,133.62,154,69,11
250,orange,7.16,133.64,161,95,7
251,orange,7.17,133.68,169,69,2
252,orange,7.17,133.7,147,74,13
253,orange,7.18,133.74,158,63,2
254,orange,7.18,133.79,169,85,7
255,orange,7.19,133.82,138,69,2
256,orange,7.19,133.86,148,70,16
257,orange,7.19,133.9,164,67,13
258,orange,7.19,134.01,153,83,2
259,orange,7.2,134.03,159,97,2
260,orange,7.2,134.05,145,99,2
261,orange,7.21,134.09,145,68,5
262,orange,7.21,134.11,161,68,2
263,orange,7.21,134.13,157,74,4
264,orange,7.21,134.17,180,87,9
265,orange,7.22,134.2,161,80,2
266,orange,7.22,134.23,156,69,9
267,orange,7.22,134.27,169,56,9
268,orange,7.23,134.29,149,78,5
269,orange,7.23,134.35,163,82,16
270,orange,7.23,134.39,142,103,2
271,orange,7.23,134.45,181,87,10
272,orange,7.24,134.47,145,93,2
273,orange,7.24,134.49,174,96,5
274,orange,7.25,134.56,156,67,17
275,orange,7.26,134.61,152,85,2
276,orange,7.26,134.68,164,91,2
277,orange,7.26,134.7,169,62,2
278,orange,7.26,134.71,159,92,3
279,orange,7.26,134.73,149,83,12
280,orange,7.27,134.78,164,78,10
281,orange,7.27,134.8,153,85,4
282,orange,7.27,134.82,163,80,20
283,orange,7.28,134.85,154,98,2
284,orange,7.28,134.88,151,75,2
285,orange,7.28,134.9,150,72,13
286,orange,7.28,135,145,82,9
287,orange,7.29,135.08,167,73,14
288,orange,7.29,135.13,162,100,4
289,orange,7.29,135.2,154,85,2
290,orange,7.3,135.22,157,79,2
291,orange,7.3,135.24,138,72,12
292,orange,7.3,135.27,164,80,2
293,orange,7.31,135.35,165,74,2
294,orange,7.31,135.4,165,77,4
295,orange,7.31,135.44,148,87,7
296,orange,7.31,135.48,155,63,3
297,orange,7.31,135.55,154,75,2
298,orange,7.32,135.63,155,87,10
299,orange,7.32,135.68,148,69,10
300,orange,7.32,135.69,150,75,2
301,orange,7.32,135.74,160,92,20
302,orange,7.33,135.78,145,82,2
303,orange,7.33,135.81,174,81,21
304,orange,7.34,135.87,165,80,10
305,orange,7.34,135.9,168,86,2
306,orange,7.35,135.94,146,79,10
307,orange,7.35,135.95,162,76,12
308,orange,7.35,136,158,82,22
309,orange,7.36,136.01,142,66,11
310,orange,7.36,136.02,141,75,3
311,orange,7.36,136.04,149,68,2
312,orange,7.36,136.07,136,98,2
313,orange,7.37,136.1,162,79,16
314,orange,7.38,136.12,166,94,2
315,orange,7.38,136.18,152,90,10
316,orange,7.38,136.23,139,92,18
317,orange,7.39,136.3,170,75,24
318,orange,7.39,136.31,159,90,9
319,orange,7.39,136.33,189,80,16
320,orange,7.39,136.36,160,90,17
321,orange,7.4,136.43,148,86,2
322,orange,7.4,136.45,159,91,2
323,orange,7.4,136.47,148,90,2
324,orange,7.41,136.49,143,91,2
325,orange,7.41,136.53,171,88,11
326,orange,7.41,136.56,142,90,12
327,orange,7.42,136.61,154,76,15
328,orange,7.42,136.68,164,94,2
329,orange,7.42,136.76,159,82,7
330,orange,7.43,136.81,152,77,2
331,orange,7.43,136.93,176,80,2
332,orange,7.43,137.07,156,70,2
333,orange,7.44,137.12,164,97,2
334,orange,7.44,137.24,166,83,7
335,orange,7.44,137.24,139,94,8
336,orange,7.45,137.29,148,71,2
337,orange,7.45,137.32,168,79,11
338,orange,7.45,137.35,168,79,16
339,orange,7.45,137.38,150,88,12
340,orange,7.45,137.42,151,71,2
341,orange,7.46,137.51,185,82,8
342,orange,7.46,137.54,156,106,18
343,orange,7.46,137.6,146,69,17
344,orange,7.46,137.7,150,99,5
345,orange,7.47,137.73,158,76,13
346,orange,7.47,137.78,163,96,2
347,orange,7.47,137.83,153,82,2
348,orange,7.47,137.84,154,91,2
349,orange,7.48,137.89,158,81,2
350,orange,7.48,137.92,148,88,16
351,orange,7.48,137.95,167,94,11
352,orange,7.49,137.97,139,86,2
353,orange,7.49,137.99,168,69,2
354,orange,7.49,138.03,158,96,2
355,orange,7.49,138.06,163,86,6
356,orange,7.5,138.09,141,99,2
357,orange,7.5,138.09,152,82,2
358,orange,7.5,138.09,143,58,16
359,orange,7.5,138.14,148,83,2
360,orange,7.51,138.18,160,83,21
361,orange,7.51,138.21,147,81,2
362,orange,7.51,138.23,163,71,18
363,orange,7.51,138.29,173,109,3
364,orange,7.52,138.33,173,103,2
365,orange,7.52,138.37,156,82,2
366,orange,7.52,138.42,167,89,2
367,orange,7.52,138.44,165,88,4
368,orange,7.52,138.47,149,85,2
369,orange,7.52,138.54,169,85,22
370,orange,7.53,138.58,154,78,5
371,orange,7.53,138.6,153,87,7
372,orange,7.53,138.62,175,72,11
373,orange,7.53,138.67,170,63,2
374,orange,7.54,138.69,170,89,2
375,orange,7.54,138.72,145,82,7
376,orange,7.55,138.75,155,89,13
377,orange,7.55,138.78,154,90,9
378,orange,7.55,138.84,154,68,2
379,orange,7.55,138.85,175,102,2
380,orange,7.56,138.88,158,90,7
381,orange,7.56,138.94,160,80,10
382,orange,7.56,139,146,75,10
383,orange,7.56,139.01,149,89,2
384,orange,7.57,139.04,154,91,2
385,orange,7.57,139.05,147,84,5
386,orange,7.57,139.07,180,83,2
387,orange,7.57,139.09,149,86,8
388,orange,7.57,139.12,142,96,7
389,orange,7.58,139.15,161,83,14
390,orange,7.58,139.19,168,84,7
391,orange,7.58,139.22,166,92,3
392,orange,7.58,139.24,156,89,5
393,orange,7.59,139.29,154,112,13
394,orange,7.59,139.3,159,86,2
395,orange,7.59,139.34,164,94,2
396,orange,7.6,139.39,159,84,3
397,orange,7.6,139.44,149,82,2
398,orange,7.6,139.49,162,81,2
399,orange,7.61,139.51,167,81,3
400,orange,7.61,139.54,168,92,2
401,orange,7.61,139.57,167,80,2
402,orange,7.61,139.6,163,77,19
403,orange,7.61,139.65,149,80,2
404,orange,7.62,139.69,148,70,7
405,orange,7.62,139.73,150,91,6
406,orange,7.62,139.79,163,78,14
407,orange,7.63,139.83,155,85,2
408,orange,7.63,139.89,174,75,2
409,orange,7.63,139.9,149,69,2
410,orange,7.63,139.92,168,93,3
411,orange,7.63,139.93,166,76,2
412,orange,7.63,139.96,155,82,16
413,orange,7.64,139.97,171,82,2
414,orange,7.64,140.01,156,76,5
415,orange,7.65,140.04,177,77,12
416,orange,7.65,140.1,167,73,13
417,orange,7.65,140.12,158,91,3
418,orange,7.65,140.17,163,77,11
419,orange,7.66,140.21,174,90,2
420,orange,7.66,140.24,164,80,2
421,orange,7.66,140.29,149,70,2
422,orange,7.67,140.3,133,79,7
423,orange,7.67,140.32,148,86,10
424,orange,7.67,140.33,150,78,2
425,orange,7.67,140.43,158,88,7
426,orange,7.67,140.45,167,58,2
427,orange,7.67,140.48,153,82,29
428,orange,7.68,140.54,154,67,9
429,orange,7.68,140.58,157,90,4
430,orange,7.68,140.6,137,79,14
431,orange,7.68,140.64,157,75,2
432,orange,7.69,140.65,161,84,7
433,orange,7.69,140.66,152,81,3
434,orange,7.69,140.69,187,91,4
435,orange,7.69,140.71,156,78,21
436,orange,7.69,140.73,153,76,2
437,orange,7.7,140.75,177,109,13
438,orange,7.7,140.81,164,90,18
439,orange,7.71,140.86,140,72,15
440,orange,7.71,140.89,146,73,12
441,orange,7.71,140.9,161,85,2
442,orange,7.71,140.92,159,78,15
443,orange,7.71,140.93,155,92,2
444,orange,7.71,140.96,161,85,2
445,orange,7.72,140.98,162,84,10
446,orange,7.72,141.02,162,84,4
447,orange,7.72,141.03,162,78,2
448,orange,7.72,141.06,148,89,7
449,orange,7.72,141.08,162,82,6
450,orange,7.73,141.1,166,75,4
451,orange,7.73,141.13,162,85,2
452,orange,7.74,141.16,138,83,2
453,orange,7.74,141.22,150,85,2
454,orange,7.74,141.25,149,78,7
455,orange,7.74,141.28,154,77,3
456,orange,7.75,141.3,160,81,14
457,orange,7.75,141.35,151,78,2
458,orange,7.75,141.36,159,65,8
459,orange,7.75,141.38,157,67,2
460,orange,7.75,141.41,164,88,7
461,orange,7.75,141.44,132,88,4
462,orange,7.76,141.45,151,83,2
463,orange,7.76,141.46,151,75,2
464,orange,7.76,141.59,169,98,4
465,orange,7.76,141.64,156,87,4
466,orange,7.77,141.68,148,85,2
467,orange,7.77,141.73,154,78,2
468,orange,7.77,141.76,149,78,2
469,orange,7.77,141.83,156,87,2
470,orange,7.77,141.87,163,71,18
471,orange,7.77,141.91,160,92,2
472,orange,7.78,141.97,155,74,11
473,orange,7.78,141.99,163,68,2
474,orange,7.78,142,161,92,2
475,orange,7.78,142.01,153,70,2
476,orange,7.78,142.03,158,90,2
477,orange,7.79,142.06,176,73,3
478,orange,7.79,142.08,166,59,2
479,orange,7.79,142.09,160,100,12
480,orange,7.79,142.12,161,88,2
481,orange,7.79,142.14,176,74,6
482,orange,7.79,142.23,164,83,16
483,orange,7.8,142.31,157,85,2
484,orange,7.8,142.34,170,55,7
485,orange,7.8,142.36,155,92,13
486,orange,7.8,142.37,154,87,2
487,orange,7.8,142.38,149,77,2
488,orange,7.81,142.42,164,99,2
489,orange,7.81,142.44,152,94,2
490,orange,7.81,142.51,168,72,2
491,orange,7.81,142.53,168,88,4
492,orange,7.81,142.55,161,83,2
493,orange,7.81,142.59,165,94,2
494,orange,7.82,142.62,163,87,2
495,orange,7.82,142.68,154,80,2
496,orange,7.82,142.71,174,76,2
497,orange,7.82,142.77,161,71,2
498,orange,7.82,142.8,151,91,19
499,orange,7.83,142.83,140,84,2
500,orange,7.83,142.86,167,85,7
501,orange,7.83,142.88,149,70,9
502,orange,7.83,142.91,157,90,2
503,orange,7.83,142.94,155,79,27
504,orange,7.84,143.02,149,81,9
505,orange,7.84,143.04,161,77,12
506,orange,7.84,143.06,175,92,2
507,orange,7.84,143.11,149,73,2
508,orange,7.84,143.13,175,70,5
509,orange,7.85,143.15,159,91,24
510,orange,7.85,143.17,163,106,3
511,orange,7.85,143.22,162,84,2
512,orange,7.85,143.24,164,91,2
513,orange,7.85,143.26,153,87,26
514,orange,7.86,143.32,145,72,2
515,orange,7.86,143.35,154,90,2
516,orange,7.86,143.38,155,83,19
517,orange,7.86,143.43,170,79,5
518,orange,7.86,143.46,159,79,13
519,orange,7.86,143.47,168,64,3
520,orange,7.86,143.52,160,52,3
521,orange,7.87,143.57,159,85,2
522,orange,7.87,143.63,144,95,2
523,orange,7.87,143.69,157,91,2
524,orange,7.87,143.7,143,90,17
525,orange,7.87,143.73,158,81,6
526,orange,7.87,143.76,144,91,13
527,orange,7.88,143.76,171,82,3
528,orange,7.88,143.8,156,72,5
529,orange,7.88,143.86,153,77,12
530,orange,7.89,143.95,157,81,2
531,orange,7.89,143.98,159,78,2
532,orange,7.89,144,174,70,34
533,orange,7.9,144.03,153,69,2
534,orange,7.9,144.05,148,78,2
535,orange,7.9,144.09,158,69,5
536,orange,7.9,144.16,149,86,4
537,orange,7.9,144.19,159,80,2
538,orange,7.91,144.25,164,83,2
539,orange,7.91,144.31,169,89,2
540,orange,7.91,144.33,147,85,17
541,orange,7.91,144.33,163,82,6
542,orange,7.91,144.37,176,82,2
543,orange,7.92,144.39,168,91,25
544,orange,7.92,144.42,153,72,2
545,orange,7.92,144.45,164,79,15
546,orange,7.92,144.45,159,79,2
547,orange,7.92,144.48,142,83,7
548,orange,7.93,144.5,167,83,7
549,orange,7.93,144.53,135,80,12
550,orange,7.93,144.57,152,91,2
551,orange,7.94,144.6,143,75,2
552,orange,7.94,144.61,144,85,11
553,orange,7.94,144.62,149,75,18
554,orange,7.94,144.64,152,95,5
555,orange,7.94,144.65,170,85,2
556,orange,7.95,144.67,169,79,2
557,orange,7.95,144.72,145,79,2
558,orange,7.95,144.76,158,76,11
559,orange,7.95,144.81,164,97,2
560,orange,7.96,144.82,160,93,2
561,orange,7.96,144.85,144,85,12
562,orange,7.96,144.88,161,68,13
563,orange,7.96,144.92,154,88,2
564,orange,7.96,144.98,149,100,2
565,orange,7.97,145.02,155,98,5
566,orange,7.97,145.07,163,108,15
567,orange,7.97,145.1,161,69,2
568,orange,7.97,145.12,155,82,2
569,orange,7.97,145.15,146,96,4
570,orange,7.97,145.19,149,67,2
571,orange,7.98,145.25,157,70,14
572,orange,7.98,145.28,145,92,2
573,orange,7.98,145.3,168,68,16
574,orange,7.98,145.33,169,81,3
575,orange,7.98,145.35,157,66,11
576,orange,7.98,145.37,168,76,5
577,orange,7.98,145.43,172,80,2
578,orange,7.99,145.45,150,72,2
579,orange,7.99,145.46,158,76,16
580,orange,7.99,145.49,166,81,12
581,orange,8,145.51,155,93,9
582,orange,8,145.57,156,90,2
583,orange,8,145.59,150,91,26
584,orange,8,145.61,163,92,13
585,orange,8,145.64,160,83,2
586,orange,8.01,145.7,163,64,3
587,orange,8.01,145.72,159,77,2
588,orange,8.01,145.74,172,94,2
589,orange,8.01,145.76,135,103,3
590,orange,8.01,145.8,165,68,11
591,orange,8.02,145.82,148,79,2
592,orange,8.02,145.85,138,73,2
593,orange,8.02,145.9,162,84,4
594,orange,8.02,145.92,156,81,9
595,orange,8.02,145.95,156,69,15
596,orange,8.03,145.96,168,105,15
597,orange,8.03,145.98,151,98,2
598,orange,8.03,146.01,152,75,2
599,orange,8.03,146.05,157,82,14
600,orange,8.04,146.12,165,78,6
601,orange,8.04,146.17,142,85,2
602,orange,8.05,146.18,162,99,2
603,orange,8.05,146.2,171,74,21
604,orange,8.05,146.24,159,80,2
605,orange,8.05,146.3,164,68,16
606,orange,8.05,146.33,161,116,2
607,orange,8.05,146.35,188,99,9
608,orange,8.05,146.38,166,79,12
609,orange,8.06,146.43,152,71,7
610,orange,8.06,146.44,140,80,13
611,orange,8.06,146.46,151,81,2
612,orange,8.06,146.5,157,70,2
613,orange,8.07,146.58,150,91,2
614,orange,8.07,146.59,157,94,5
615,orange,8.07,146.63,163,103,2
616,orange,8.07,146.65,154,86,12
617,orange,8.07,146.71,142,87,2
618,orange,8.07,146.73,172,94,2
619,orange,8.08,146.75,154,86,2
620,orange,8.08,146.75,151,97,16
621,orange,8.08,146.78,150,51,4
622,orange,8.08,146.8,161,99,5
623,orange,8.08,146.83,148,68,2
624,orange,8.08,146.86,163,96,11
625,orange,8.09,146.9,154,80,11
626,orange,8.09,146.94,171,61,20
627,orange,8.09,146.97,159,74,9
628,orange,8.09,146.98,173,65,18
629,orange,8.09,147.01,150,71,20
630,orange,8.09,147.02,161,90,6
631,orange,8.1,147.03,170,74,2
632,orange,8.1,147.05,157,106,2
633,orange,8.1,147.08,154,74,5
634,orange,8.1,147.14,160,76,2
635,orange,8.1,147.16,171,91,7
636,orange,8.11,147.22,174,82,16
637,orange,8.11,147.27,155,100,4
638,orange,8.11,147.3,146,63,2
639,orange,8.11,147.32,153,71,5
640,orange,8.11,147.36,157,79,18
641,orange,8.12,147.37,164,80,5
642,orange,8.12,147.41,160,80,38
643,orange,8.12,147.46,151,88,4
644,orange,8.12,147.46,168,94,2
645,orange,8.12,147.48,150,88,2
646,orange,8.13,147.51,157,73,35
647,orange,8.13,147.53,153,99,15
648,orange,8.13,147.57,166,89,21
649,orange,8.13,147.58,160,59,2
650,orange,8.13,147.64,141,87,2
651,orange,8.14,147.67,145,95,2
652,orange,8.14,147.69,155,90,2
653,orange,8.14,147.74,178,79,2
654,orange,8.14,147.75,160,71,2
655,orange,8.14,147.77,163,86,4
656,orange,8.14,147.82,153,99,2
657,orange,8.15,147.85,158,83,20
658,orange,8.15,147.86,161,79,13
659,orange,8.15,147.92,157,88,2
660,orange,8.15,147.95,136,85,2
661,orange,8.15,147.99,151,95,2
662,orange,8.16,148,154,93,10
663,orange,8.16,148.02,160,99,7
664,orange,8.16,148.03,161,86,23
665,orange,8.16,148.05,152,71,2
666,orange,8.16,148.09,144,91,10
667,orange,8.16,148.12,169,75,2
668,orange,8.17,148.14,145,91,6
669,orange,8.17,148.15,149,74,17
670,orange,8.17,148.18,155,62,2
671,orange,8.17,148.19,139,85,9
672,orange,8.17,148.21,165,86,2
673,orange,8.17,148.25,151,86,2
674,orange,8.18,148.27,146,82,2
675,orange,8.18,148.28,157,84,2
676,orange,8.19,148.29,161,82,5
677,orange,8.19,148.33,154,99,11
678,orange,8.19,148.37,161,67,2
679,orange,8.19,148.38,156,97,10
680,orange,8.19,148.4,147,84,3
681,orange,8.19,148.42,179,66,2
682,orange,8.2,148.47,172,97,2
683,orange,8.2,148.5,155,84,21
684,orange,8.2,148.52,148,101,2
685,orange,8.2,148.54,154,76,11
686,orange,8.2,148.57,149,76,18
687,orange,8.21,148.61,176,79,18
688,orange,8.21,148.62,164,73,11
689,orange,8.21,148.65,157,82,16
690,orange,8.21,148.67,161,88,11
691,orange,8.21,148.7,143,78,21
692,orange,8.21,148.73,144,87,2
693,orange,8.21,148.75,169,83,2
694,orange,8.22,148.8,161,74,13
695,orange,8.22,148.81,160,64,5
696,orange,8.22,148.82,159,78,2
697,orange,8.22,148.86,162,69,14
698,orange,8.22,148.89,150,89,23
699,orange,8.23,148.91,171,90,11
700,orange,8.23,148.96,170,73,13
701,orange,8.23,148.97,158,90,29
702,orange,8.23,149.02,182,69,6
703,orange,8.23,149.03,151,68,4
704,orange,8.24,149.05,170,83,2
705,orange,8.24,149.06,157,76,12
706,orange,8.24,149.09,134,79,19
707,orange,8.24,149.14,151,91,14
708,orange,8.24,149.18,166,60,2
709,orange,8.25,149.19,154,85,11
710,orange,8.25,149.22,162,80,2
711,orange,8.25,149.25,148,66,2
712,orange,8.25,149.26,172,85,9
713,orange,8.25,149.29,171,97,2
714,orange,8.25,149.31,171,88,13
715,orange,8.25,149.34,159,93,2
716,orange,8.26,149.36,136,73,2
717,orange,8.27,149.39,161,72,6
718,orange,8.27,149.44,148,67,2
719,orange,8.27,149.45,159,82,5
720,orange,8.27,149.46,150,75,2
721,orange,8.27,149.48,150,89,2
722,orange,8.27,149.5,139,79,7
723,orange,8.28,149.53,169,96,5
724,orange,8.28,149.54,153,86,2
725,orange,8.28,149.6,144,93,2
726,orange,8.29,149.63,161,83,2
727,orange,8.29,149.67,159,91,7
728,orange,8.29,149.69,145,97,5
729,orange,8.29,149.73,158,91,2
730,orange,8.3,149.77,147,82,14
731,orange,8.3,149.79,149,80,4
732,orange,8.3,149.81,158,96,13
733,orange,8.3,149.82,164,88,8
734,orange,8.31,149.83,157,72,6
735,orange,8.31,149.85,170,77,2
736,orange,8.31,149.88,164,100,2
